month,avg_days,sd
2018-01-01,45.073170731707314,18.52753389404866
2018-02-01,28.146341463414632,14.15726134464176
2018-03-01,20.365853658536587,9.318680425792527
2018-04-01,20.317073170731707,11.96335869308917
2018-05-01,19.73170731707317,10.74947531334414
2018-06-01,20.75609756097561,11.5299186636439
2018-07-01,22.317073170731707,10.213811786963387
2018-08-01,24.902439024390244,10.079198574412503
2018-09-01,27.878048780487806,9.765232004287506
2018-10-01,29.317073170731707,10.342724554947415
2018-11-01,32.5609756097561,10.040041783996232
2018-12-01,41.26829268292683,11.836436098429084
2019-01-01,41.146341463414636,12.515112815332023
2019-02-01,27.804878048780488,14.084068148434817
2019-03-01,21.829268292682926,11.586419721001803
2019-04-01,19.658536585365855,13.837647480871814
2019-05-01,19.634146341463413,12.966796245721175
2019-06-01,20.195121951219512,11.855841412981032
2019-07-01,22.390243902439025,13.36951391932498
2019-08-01,24.048780487804876,13.143346642906812
2019-09-01,25.24390243902439,12.796055032323201
2019-10-01,27.634146341463413,12.449409820471361
2019-11-01,29.195121951219512,11.342882156213918
2019-12-01,39.170731707317074,14.68826476991818
2020-01-01,36.4390243902439,16.44695835175581
2020-02-01,20.804878048780488,13.16476264919942
2020-03-01,14.560975609756097,10.945430052053242
2020-04-01,20.804878048780488,13.265028292836623
2020-05-01,16.902439024390244,13.141166002392596
2020-06-01,14.073170731707316,10.467545662433096
2020-07-01,11.829268292682928,8.309339441328625
2020-08-01,10.24390243902439,6.491457801622368
2020-09-01,11.853658536585366,7.59131403516465
2020-10-01,9.975609756097562,5.0273641447484625
2020-11-01,10.951219512195122,4.969664070700328
2020-12-01,13.560975609756097,6.30891742095189
2021-01-01,15.073170731707316,10.083130079252273
2021-02-01,7.829268292682927,3.714178502875099
2021-03-01,6.2439024390243905,2.605575635103288
2021-04-01,5.609756097560975,2.096163743371302
